"","Expected","Residuals","Variable","Model"
"275",-2.99485480844904,-0.224021016419163,"log(italic(K))","D"
"276",-2.99485480844904,-0.738185541450669,"log(italic(K))","D"
"277",-2.99485480844904,-0.249338824403453,"log(italic(K))","D"
"278",-2.2068655044715,0.0697948499550274,"log(italic(K))","D"
"279",-2.2068655044715,0.219091151317488,"log(italic(K))","D"
"280",-2.2068655044715,-0.201080104180373,"log(italic(K))","D"
"281",-2.72105460989517,0.558231459276283,"log(italic(K))","D"
"282",-2.72105460989517,-0.743082571540859,"log(italic(K))","D"
"283",-2.72105460989517,0.144032671199364,"log(italic(K))","D"
"284",-2.72105460989517,-0.138400045366273,"log(italic(K))","D"
"285",-2.72105460989517,-0.0325161065088485,"log(italic(K))","D"
"286",-2.72105460989517,0.374517629371942,"log(italic(K))","D"
"287",-2.72105460989517,0.0899654499290887,"log(italic(K))","D"
"288",-2.72105460989517,-0.402511035168705,"log(italic(K))","D"
"289",-2.72105460989517,-0.254875036362641,"log(italic(K))","D"
"290",-2.72105460989517,0.388010309416417,"log(italic(K))","D"
"291",-2.72105460989517,0.34589882406629,"log(italic(K))","D"
"292",-2.72105460989517,-0.402511035168705,"log(italic(K))","D"
"293",-2.72105460989517,-0.216408755534845,"log(italic(K))","D"
"294",-2.72105460989517,0.157104752766717,"log(italic(K))","D"
"295",-2.72105460989517,-0.143649401252416,"log(italic(K))","D"
"296",-2.12901639766423,0.0887955691376778,"log(italic(K))","D"
"297",4.25290237320607,-0.177061282548533,"log(italic(L)[infinity])","E"
"298",4.25290237320607,0.0402930477611929,"log(italic(L)[infinity])","E"
"299",4.25290237320607,0.0632515173171009,"log(italic(L)[infinity])","E"
"300",4.23961653306486,-0.108136764180498,"log(italic(L)[infinity])","E"
"301",4.23961653306486,0.0164216181552299,"log(italic(L)[infinity])","E"
"302",4.23961653306486,0.000270334447900503,"log(italic(L)[infinity])","E"
"303",4.23961653306486,0.0244708037443364,"log(italic(L)[infinity])","E"
"304",4.23961653306486,-0.0794842303047542,"log(italic(L)[infinity])","E"
"305",4.23961653306486,-0.051478091556397,"log(italic(L)[infinity])","E"
"306",4.72943822960679,-0.039008199667875,"log(italic(L)[infinity])","E"
"307",4.72943822960679,0.0134047615063749,"log(italic(L)[infinity])","E"
"308",4.72943822960679,0.265067682559582,"log(italic(L)[infinity])","E"
"309",4.72943822960679,-0.127272552638997,"log(italic(L)[infinity])","E"
"310",4.72943822960679,0.221163934373987,"log(italic(L)[infinity])","E"
"311",4.67859929884792,0.0288566806809172,"log(italic(L)[infinity])","E"
"312",4.65888395662236,-0.043763439781103,"log(italic(L)[infinity])","E"
"313",4.65048432355985,-0.0729937066785061,"log(italic(L)[infinity])","E"
"314",4.67256105458206,0.019703838256966,"log(italic(L)[infinity])","E"
"315",4.41253800203454,-0.0255238258496184,"log(italic(L)[infinity])","E"
"316",4.41253800203454,-0.107797461320731,"log(italic(L)[infinity])","E"
"317",4.45680513992218,0.0950697490076882,"log(italic(L)[infinity])","E"
"318",4.60823365801592,-0.0575196578238889,"log(italic(L)[infinity])","E"
"319",4.60823365801592,0.0922467077764953,"log(italic(L)[infinity])","E"
